Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Spansules Pharmatech,spansules.com,Pune,Complex APIs,"Pelletized APIs and modified-release formulations",Rs.50-100Cr,Suresh Reddy,Technical Director,"Pharmacy background, deep expertise in formulation tech",Strong,"Manufacturing facility dedicated to complex pelletization and modified release.",Strong,"HQ in Hyderabad, major operational presence/manufacturing tied to Pune region networks.",Moderate,"Modified release pellets are a step above generic APIs, requiring specialized machinery.",Moderate,"Technical leadership focused on formulation science.",Moderate,"Solid tailwinds in life-cycle management of existing generic drugs.",Moderate,"Steady capacity utilization and regulatory audits. Signals: Certifications.",65,C — Borderline,Borderline,"Good technical foundation but operates in a slightly more commoditized part of the specialty pharma space. Keep as a backup.",Your focus on modified-release pelletized APIs requires a level of manufacturing precision that standard bulk API plants struggle with.,spansules.com; MCA filings
Bionexara LLP,bionexara.com,Pune,Specialty biotech,"Custom RNA synthesis for research applications",<Rs.50Cr,Scientist Promoters,Founders,"Academic research backgrounds",Moderate,"Lab-scale manufacturing of custom RNA.",Strong,"HQ in Pune.",Strong,"RNA synthesis is highly specialized and in massive demand globally.",Strong,"Purely scientist-led organization.",Strong,"mRNA and biotech research tailwinds are extremely strong.",Weak,"Very new entity, limited visible scale-up data yet. Signals: 0.",60,C — Borderline,Borderline,"Incredible niche (RNA synthesis) and technical team, but currently too small with no visible growth signals. Monitor for future scaling.",Bringing precise custom RNA synthesis capabilities locally to Pune bridges a huge supply gap for emerging biotech researchers.,bionexara.com; company website
Synvision Chem,synvision.in,Pune,Custom synthesis,"Impurity standards and complex chemical reference materials",<Rs.50Cr,Dr. M. Patil,Founder,"PhD in Chemistry",Moderate,"Small-scale synthesis labs.",Strong,"HQ in Pune.",Moderate,"Impurity synthesis requires high technical skill but market size is capped.",Strong,"PhD-led chemistry team.",Moderate,"Steady demand from pharma QA/QC labs.",Weak,"Stagnant growth signals, operates as a boutique lab. Signals: 0.",52.5,C — Borderline,Borderline,"Technically sound but operates more like a boutique lab than a scaling manufacturer. May lack the growth ambition (C6) required for the ICP.",Specializing in complex impurity synthesis for CDMOs requires deep technical rigor and flawless QA processes.,synvision.in; MCA data
Clean Science & Tech,cleanscience.co.in,Pune,Performance chemicals,"MEHQ, BHA, Anisole",>Rs.500Cr,—,—,"Not evaluated - Revenue exceeds Rs.500Cr.",Strong,"Massive in-house manufacturing in Kurkumbh.",Strong,"HQ and manufacturing in Pune.",Strong,"Catalytic processes are highly proprietary.",Not scored,"Not evaluated.",Strong,"Global market leader.",Strong,"Revenue >Rs.900Cr.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Revenue is roughly Rs.900Cr+. Would be a textbook Federer 5 years ago, but has completely outgrown our target Rs.500Cr ceiling.",—,cleanscience.co.in; BSE financials
Alkyl Amines,alkylamines.com,Pune,Specialty chemicals,"Aliphatic amines",>Rs.500Cr,—,—,"Not evaluated - Revenue exceeds Rs.500Cr.",Strong,"Large scale manufacturing.",Strong,"HQ in Mumbai/Pune.",Moderate,"High volume specialty.",Not scored,"Not evaluated.",Moderate,"Steady sector.",Strong,"Revenue >Rs.1500Cr.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Massive publicly traded company with revenue over Rs.1500Cr. Fails the size constraint completely.",—,alkylamines.com; BSE financials
Serum Institute,seruminstitute.com,Pune,Specialty biotech,"Vaccines",>Rs.500Cr,—,—,"Not evaluated - Revenue massively exceeds limit.",Strong,"World's largest vaccine manufacturer.",Strong,"HQ and manufacturing in Pune.",Strong,"Deep IP.",Not scored,"Not evaluated.",Strong,"Global health tailwinds.",Strong,"Revenue in thousands of crores.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Revenue is in the thousands of crores. Far too large for the MSME/mid-cap ICP target.",—,seruminstitute.com; public records
Enzene Biosciences,enzene.com,Pune,Specialty biotech,"Biosimilars and continuous manufacturing",Rs.100-300Cr,—,—,"Not evaluated - Subsidiary of Alkem Labs.",Strong,"Advanced continuous manufacturing plant in Pune.",Strong,"HQ and plant in Pune.",Strong,"Pioneers in continuous manufacturing for biologics.",Fail,"Wholly owned subsidiary of Alkem Laboratories. Decision making is corporate, not independent founder.",Strong,"Biosimilars boom.",Strong,"Rapidly expanding facilities.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Technically brilliant company, but it is a subsidiary of Alkem Laboratories. DeepThought targets independent, founder-driven MSMEs, not corporate subsidiaries where strategic decisions are made by a parent board.",—,enzene.com; Alkem Labs annual report
Gennova Biopharma,gennova.bio,Pune,Specialty biotech,"mRNA vaccines and biologics",Rs.100-300Cr,—,—,"Not evaluated - Subsidiary of Emcure.",Strong,"Manufacturing in Pune.",Strong,"HQ in Pune.",Strong,"Developed India's first mRNA vaccine.",Fail,"Subsidiary of Emcure Pharmaceuticals.",Strong,"Biotech tailwinds.",Strong,"Scaling rapidly.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Subsidiary of Emcure Pharmaceuticals. Similar to Enzene, the lack of independent promoter-driven ownership disqualifies them from the Federer ICP.",—,gennova.bio; Emcure public filings
Aquapharm Chemicals,aquapharm.net,Pune,Performance chemicals,"Water treatment chemicals and phosphonates",Rs.300-500Cr,—,—,"Not evaluated - PE/Corporate acquired.",Strong,"Large manufacturing footprint.",Strong,"HQ in Pune.",Moderate,"Water treatment chemicals.",Fail,"Recently acquired/majority stake bought out. No longer independent promoter driven.",Moderate,"Water scarcity tailwinds.",Moderate,"Steady growth.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Ownership has transitioned away from the founding promoters to institutional/corporate control. Fails the 'wants to build in-house' promoter dynamic.",—,aquapharm.net; acquisition press releases
Tulip Diagnostics,tulipgroup.com,Pune,Specialty diagnostics,"IVD kits",Rs.300-500Cr,—,—,"Not evaluated - Sales office only in Pune.",Fail,"No manufacturing in Pune.",Fail,"HQ and manufacturing are in Goa. Pune is just a sales/distribution office.",Moderate,"Standard IVD kits.",Not scored,"Not evaluated.",Moderate,"Diagnostics sector.",Moderate,"Steady.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Pune location is merely a sales office. Primary operations and HQ are in Goa. Fails the operational presence test for the chosen city.",—,tulipgroup.com; MCA address records
Avient Materials India,avient.com,Pune,Performance chemicals,"Polymer additives",>Rs.500Cr,—,—,"Not evaluated - MNC Subsidiary.",Strong,"Manufacturing in Pune.",Strong,"Operations in India.",Moderate,"Polymer additives.",Fail,"Subsidiary of US-based Avient Corporation.",Moderate,"Steady.",Moderate,"Steady.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Subsidiary of a massive global MNC (Avient). Local leadership does not have the strategic autonomy of an MSME founder.",—,avient.com; corporate structure
Megachem Specialty,megachem.com,Pune,Specialty chemicals,"Chemical distribution",<Rs.50Cr,—,—,"Not evaluated - Distributor.",Fail,"Pure trading and distribution company. No in-house production.",Strong,"Operations in Pune.",Weak,"Commodity trading.",Not scored,"Not evaluated.",Weak,"No specific tailwinds.",Weak,"No signals.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Pure distributor/trader. Does not manufacture anything in-house. Fails C1 entirely.",—,megachem.com; website 'About Us' section
Krsnaa Diagnostics,krsnaadiagnostics.com,Pune,Diagnostics,"Diagnostic centers and radiology services",>Rs.500Cr,—,—,"Not evaluated - Service company, not manufacturer.",Fail,"Service provider (running diagnostic labs). Does not manufacture the physical diagnostic kits or MRI machines.",Strong,"HQ in Pune.",Weak,"Service delivery IP, not product IP.",Not scored,"Not evaluated.",Moderate,"Healthcare growth.",Strong,"Rapidly expanding lab network.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Service company. They operate diagnostic labs but do not manufacture physical products. Common trap in the healthcare sector.",—,krsnaadiagnostics.com; BSE filings
Vimta Labs (Pune branch),vimtalabs.com,Pune,Contract research,"Analytical testing services",<Rs.50Cr,—,—,"Not evaluated - CRO/Service company.",Fail,"Contract Research Organization. Sells testing services, not physical products.",Strong,"Branch in Pune.",Weak,"Service IP.",Not scored,"Not evaluated.",Moderate,"Pharma outsourcing.",Moderate,"Steady.",0,D — Auto-disqualify,Fail — Auto-disqualify,"CRO providing testing services. Fails C1. They test chemicals but do not manufacture them.",—,vimtalabs.com; service catalog
Suven Pharma (Pune ops),suven.com,Pune,CDMO,"Pharma intermediates",>Rs.500Cr,—,—,"Not evaluated - PE Owned.",Strong,"Manufacturing capabilities.",Strong,"India based.",Strong,"Complex chemistry.",Fail,"PE Controlled (Advent International).",Strong,"CDMO tailwinds.",Strong,"Expanding.",0,D — Auto-disqualify,Fail — Auto-disqualify,"PE controlled and revenue exceeds limit. Institutional investors drive decisions, not capability-building founders.",—,suven.com; PE buyout news
